Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-05-27 10:07:21.276136-03:00,0812412-37.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-05-27 11:30:51.931079-03:00,0812622-88.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-08 14:14:51.407034-03:00,0813268-98.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-09 14:13:40.414431-03:00,0813553-91.2026.8.14.0006,INTERDIÇÃO/CURATELA (58),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-10 11:50:47.562223-03:00,0813481-07.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-10 13:24:16.784478-03:00,0813502-80.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-19 12:30:53.224137-03:00,0814345-45.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-22 09:57:20.761034-03:00,0814469-28.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-22 10:51:25.582995-03:00,0814465-88.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-24 11:51:05.543815-03:00,0814952-58.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-25 11:21:11.396526-03:00,0814866-87.2026.8.14.0006,AVERIGUAÇÃO DE PATERNIDADE (123),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-25 11:47:27.495562-03:00,0814870-27.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-26 11:11:51.925251-03:00,0814977-71.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-06-26 14:17:12.947752-03:00,0814979-41.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-07-02 10:54:24.301912-03:00,0815565-78.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-07-02 11:34:35.148922-03:00,0815486-02.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-07-03 09:05:11.008721-03:00,0815562-26.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-07-03 13:03:11.440639-03:00,0815602-08.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-08-17 13:35:29.480872-03:00,0819294-15.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-08-19 11:55:29.843047-03:00,0819544-48.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-08-19 14:12:05.510670-03:00,0820204-42.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA DE OBRIGAÇÃO DE PRESTAR ALIMENTOS,MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-08-20 12:55:57.915667-03:00,0819686-52.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-08-21 12:18:42.527734-03:00,0819811-20.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-08-24 11:18:19.886710-03:00,0819972-30.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-02 11:40:33.440785-03:00,0821011-62.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-04 10:47:36.789879-03:00,0821258-43.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-04 12:15:59.124168-03:00,0821286-11.2026.8.14.0006,GUARDA DE FAMÍLIA,MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-04 13:47:01.456731-03:00,0821306-02.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA DE OBRIGAÇÃO DE PRESTAR ALIMENTOS,MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-15 09:28:05.988646-03:00,0889428-55.2026.8.14.0301,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-16 14:15:43.484833-03:00,0822636-34.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-09-16 14:18:27.946557-03:00,0822337-57.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),MARIA DO CARMO SOUZA MAIA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PÚBLICA CRIMINAL DE ANANINDEUA,2026-03-01 14:03:48.665783-03:00,0804589-12.2026.8.14.0006,AÇÃO CIVIL PÚBLICA (65),CLIVIA RENATA LOUREIRO CROELHAS
CÍVEL,ANANINDEUA,1ª DEFENSORIA PÚBLICA CRIMINAL DE ANANINDEUA,2026-03-04 16:38:31.976077-03:00,0804974-57.2026.8.14.0006,PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436),CLIVIA RENATA LOUREIRO CROELHAS
CÍVEL,ANANINDEUA,1ª DEFENSORIA PÚBLICA CRIMINAL DE ANANINDEUA,2026-04-15 21:52:23.765248-03:00,0808949-87.2026.8.14.0006,PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436),CLIVIA RENATA LOUREIRO CROELHAS
CÍVEL,ANANINDEUA,1ª DEFENSORIA PÚBLICA CRIMINAL DE ANANINDEUA,2026-08-01 14:01:17.129952-03:00,0817847-89.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),CLIVIA RENATA LOUREIRO CROELHAS
CÍVEL,ANANINDEUA,1ª DEFENSORIA PÚBLICA CRIMINAL DE ANANINDEUA,2026-08-05 08:48:38.142647-03:00,0875997-51.2026.8.14.0301,GUARDA DE FAMÍLIA,CLIVIA RENATA LOUREIRO CROELHAS
CÍVEL,ANANINDEUA,1ª DEFENSORIA PÚBLICA CRIMINAL DE ANANINDEUA,2026-08-05 09:59:10.300328-03:00,0875999-21.2026.8.14.0301,PETIÇÃO INFÂNCIA E JUVENTUDE CÍVEL (11026),CLIVIA RENATA LOUREIRO CROELHAS
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-14 12:45:10.611872-03:00,0801022-70.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-19 10:43:16.536179-03:00,0801042-61.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-19 12:52:21.569429-03:00,0801068-59.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-20 13:12:02.687256-03:00,0801198-49.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA (156),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 09:40:45.748335-03:00,0802262-94.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),SILVANE BRITO LOPES
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 09:51:18.865058-03:00,0802264-64.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 10:17:38.523487-03:00,0802274-11.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),THAMIRES OLIVEIRA NASCIMENTO
