Mes_Ano,Defensores,Categoria,Acao,Quantidade,Sistema
08/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,Ações Diversas (SCPJ),2,SCPJ
08/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),1,SCPJ
08/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,Ações Diversas (SCPJ),9,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,Registro Extemporâneo Nascimento/óbito (SCPJ),16,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,Retificação em registro civil (SCPJ),14,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,"Direito da personalidade (Tutela, Curatela, Tomada de Decisão Apoiada etc.) (SCPJ)",5,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,Alvará Judicial (SCPJ),2,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,Interdição (SCPJ),6,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,Outros(as) (SCPJ),5,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,CÍVEL,Registro Extemporâneo Nascimento/Óbito (SCPJ),5,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Divórcio (SCPJ),22,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Reconhecimento e Dissolução de União Estável (SCPJ),3,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",10,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",9,SCPJ
02/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Outros(as) (SCPJ),14,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Divórcio (SCPJ),10,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",3,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",1,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Cumprimento de sentença e Execuções (SCPJ),1,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Outros(as) (SCPJ),104,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Registro Extemporâneo Nascimento/Óbito (SCPJ),13,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Alvará Judicial (SCPJ),2,SCPJ
01/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Interdição (SCPJ),5,SCPJ
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Divórcio (SCPJ),22,SCPJ
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Reconhecimento e Dissolução de União Estável (SCPJ),2,SCPJ
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",84,SCPJ
