Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-09 12:26:40.596042-03:00,0827284-45.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-09 18:23:55.664567-03:00,0801367-33.2026.8.14.0201,DIVÓRCIO CONSENSUAL (12372),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-10 10:43:10.126767-03:00,0827688-96.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-10 11:02:25.739438-03:00,0801391-61.2026.8.14.0201,DIVÓRCIO LITIGIOSO (12541),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-10 12:28:38.858755-03:00,0805423-15.2026.8.14.0006,INTERDIÇÃO/CURATELA (58),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-11 11:32:51.993484-03:00,0807069-60.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-23 12:01:51.571662-03:00,0832024-46.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-26 10:09:54.092765-03:00,0833501-07.2026.8.14.0301,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-26 14:50:29.447951-03:00,0833255-11.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-27 13:57:46.642712-03:00,0834170-60.2026.8.14.0301,DIVÓRCIO LITIGIOSO (12541),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-03-30 15:16:39.126717-03:00,0834277-07.2026.8.14.0301,DIVÓRCIO CONSENSUAL (12372),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-08 10:45:36.042705-03:00,0807961-66.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-08 15:17:20.991120-03:00,0840685-14.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-10 11:34:50.710266-03:00,0840762-23.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-13 10:40:27.119874-03:00,0841174-51.2026.8.14.0301,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-13 12:27:12.702304-03:00,0841237-76.2026.8.14.0301,DIVÓRCIO LITIGIOSO (12541),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-14 12:14:53.846435-03:00,0841740-97.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-14 12:17:34.877789-03:00,0808404-17.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-14 12:31:15.509234-03:00,0841737-45.2026.8.14.0301,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-14 13:19:21.607171-03:00,0808417-16.2026.8.14.0006,DIVÓRCIO CONSENSUAL (12372),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-14 14:10:09.790741-03:00,0808416-31.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-15 12:38:52.834604-03:00,0808557-50.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-17 13:25:33.245032-03:00,0843243-56.2026.8.14.0301,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),ANA MARINA MONTEIRO VALENTE DO COUTO
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-17 13:30:14.004144-03:00,0843247-93.2026.8.14.0301,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-04-21 12:39:41.035911-03:00,0809117-89.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),ANA MARINA MONTEIRO VALENTE DO COUTO
